,dimension,birth,death
0,1,2.0424883542130345,2.697683376167802
1,1,3.2226062976982477,3.450427793694946
2,1,2.6775728461907002,2.8841348375331393
3,1,3.990160049641538,4.115347731294608
4,1,3.430906993620635,3.5515073511346857
5,1,1.6372011700676121,1.690152101838557
6,1,1.8721669769061031,1.8991201281203995
7,1,1.6055292864788968,1.6104227338995925
8,0,0.0,inf
9,0,0.0,3.082684535717048
10,0,0.0,3.0808431036535704
11,0,0.0,2.8174354133011272
12,0,0.0,2.7062719430590465
13,0,0.0,2.4514125129748825
14,0,0.0,2.398887946245711
15,0,0.0,2.376676829560493
16,0,0.0,2.347576086553845
17,0,0.0,2.0327369441387133
18,0,0.0,1.9497054552796032
19,0,0.0,1.8642508297183629
20,0,0.0,1.5679262836080334
21,0,0.0,1.4572635376999874
22,0,0.0,1.3965811070480718
23,0,0.0,1.358409130109039
24,0,0.0,1.3572955050308637
25,0,0.0,1.3090786387706432
26,0,0.0,1.1511124997295183
27,0,0.0,1.0551518909704007
28,0,0.0,0.9997550042928113
29,0,0.0,0.9384030643234407
30,0,0.0,0.6967897349815916
31,0,0.0,0.6563089963199012
32,0,0.0,0.6464543382911571
33,0,0.0,0.5589851888894612
34,0,0.0,0.4232739682737835
35,0,0.0,0.40273301832513025
36,0,0.0,0.2338848884564729
37,0,0.0,0.11489378099702456
