,dimension,birth,death
0,3,12.957214539080704,13.350415119466282
1,3,13.188528312526303,13.50532194281715
2,3,13.32781977064821,13.537479315115878
3,3,13.149691211153268,13.326537246948822
4,3,13.412458621824136,13.439890394740535
5,2,9.881201655485185,12.848669705892585
6,1,5.817945085150264,8.502587886615393
7,1,4.4242481470157555,6.698004791955281
8,1,7.0723153808907675,8.568719991947214
9,1,6.646615611031429,7.536367017562564
10,1,7.378844225378376,8.07808979990334
11,1,6.197157284226418,6.273664727777187
12,1,8.10104668065235,8.174815014590031
13,0,0.0,inf
14,0,0.0,4.979595109198388
15,0,0.0,4.880921504785947
16,0,0.0,4.838569000790584
17,0,0.0,4.81820952065921
18,0,0.0,4.802239608936707
19,0,0.0,4.674392897261325
20,0,0.0,4.490037079435707
21,0,0.0,4.253475760867452
22,0,0.0,4.118072493934337
23,0,0.0,4.017986362588962
24,0,0.0,3.986005973864153
25,0,0.0,3.837718479059563
26,0,0.0,3.8014617473092267
27,0,0.0,3.778437037748138
28,0,0.0,3.6137725685400413
29,0,0.0,3.2701047178009954
30,0,0.0,2.999057380562372
31,0,0.0,2.8755479337305556
32,0,0.0,2.7317287976342093
33,0,0.0,2.51292342029614
34,0,0.0,2.373985208934396
35,0,0.0,2.3299686764109553
36,0,0.0,2.186221822058611
37,0,0.0,2.1228406154340407
38,0,0.0,2.0084602743290616
39,0,0.0,1.498897169872753
40,0,0.0,1.1172097082677928
41,0,0.0,0.6666471023603265
42,0,0.0,0.47767305413729827
