,dimension,birth,death
0,2,14.832034781301417,15.64678313403417
1,2,3.7210831357562983,4.286542882848795
2,2,3.842703452246555,4.226967789244539
3,2,15.069137385128661,15.444816071977892
4,2,3.851077372923848,4.180879045470797
5,2,15.200865757135746,15.514783584805443
6,2,3.862230163026821,4.098606837759717
7,2,4.122308290753788,4.339358256362619
8,2,3.915621526328191,4.098606837759717
9,2,4.263029319110329,4.374167089815184
10,2,15.34106858013723,15.446557480165868
11,2,4.118365480825273,4.207609303972621
12,2,4.262261698337478,4.344109254069527
13,2,3.9870349517196946,4.064504529000446
14,2,3.858588118510679,3.902928476029713
15,2,4.214583520532318,4.257354803005034
16,2,4.512938322887716,4.549183694987538
17,2,3.9171894292404943,3.9500452376016555
18,2,4.37299109094404,4.404149606839341
19,2,3.995749497065511,4.003550392980046
20,2,4.216519618694333,4.22369717198565
21,2,3.8439676490976975,3.8489038529807496
22,2,15.403907639355415,15.404862881667354
23,2,4.205154692853166,4.205701210111668
24,1,2.5713611727360175,14.801039868203393
25,1,2.2269843363587514,4.0211087948341815
26,1,2.2569597753014015,3.9719770567283352
27,1,2.3950393676817825,3.9577966312234647
28,1,2.2336219502578727,3.7885964933553518
29,1,2.4054240022552227,3.7888686963738247
30,1,2.537387759398698,3.8464611110095377
31,1,2.5203975735846016,3.786834684107495
32,1,1.5101437079628974,2.7401701722916965
33,1,2.723650994153279,3.901235095644836
34,1,2.9812036336554213,4.1435182007475335
35,1,2.6108072371868674,3.772147193583269
36,1,2.653959660412518,3.709699378373716
37,1,2.7244478883478243,3.7308100129313635
38,1,2.567147606223332,3.5260288431550086
39,1,2.914320071580118,3.825115452278352
40,1,2.8650020140906385,3.7315803319231318
41,1,2.0142341068000853,2.8127492033132784
42,1,2.8802734283591644,3.6464103504525895
43,1,2.9113537327143817,3.5485462834869823
44,1,2.75152184138963,3.3638294365869
45,1,2.084444506448025,2.675888178239371
46,1,3.287773360536254,3.8613433726131188
47,1,2.5250215666820384,3.091934624986067
48,1,3.1608858421155985,3.6726587497797594
49,1,3.049923988850012,3.542093850532504
50,1,2.33861092812798,2.804959526030801
51,1,1.5519591427071735,2.01208414807788
52,1,2.069207251961735,2.5125808442136375
53,1,2.2766149757852907,2.693964717421296
54,1,2.1693761881594993,2.5799453801660994
55,1,1.7636929743144762,2.14180851606795
56,1,2.793517368524576,3.1531756539532503
57,1,2.3352458348140135,2.6706561675563893
58,1,3.104504305921742,3.4250685903212648
59,1,3.065621569363142,3.374902831522069
60,1,2.6397189193684336,2.948308715440115
61,1,2.080370662836856,2.3814879206696506
62,1,1.834750443629796,2.132079927909732
63,1,2.5066486755593953,2.7588959671669686
64,1,3.582861919232333,3.7930517583740238
65,1,2.7339278473333755,2.9281011090662257
66,1,2.2428685829560857,2.376290281672778
67,1,2.524286342905627,2.6535214829866414
68,1,3.3309560794276476,3.435567327597196
69,1,2.2429561703218432,2.3335154110132477
70,1,2.2213914281385754,2.289712629684966
71,1,2.3378652915056324,2.3975056513188364
72,1,2.053371576243812,2.1080453783888946
73,1,3.214580970457504,3.2523540909796798
74,0,0.0,inf
75,0,0.0,2.525473257956393
76,0,0.0,2.5135415258896754
77,0,0.0,2.496208153000742
78,0,0.0,2.469506065246847
79,0,0.0,2.461985522221152
80,0,0.0,2.458108316819013
81,0,0.0,2.3973398501892214
82,0,0.0,2.354713504772495
83,0,0.0,2.347168861739709
84,0,0.0,2.3030868174358123
85,0,0.0,2.2897015664788265
86,0,0.0,2.285552489489075
87,0,0.0,2.2448957026559224
88,0,0.0,2.2414327371826053
89,0,0.0,2.2341577957233327
90,0,0.0,2.2262685649821
91,0,0.0,2.202362037115699
92,0,0.0,2.1886980089223456
93,0,0.0,2.1708084812419393
94,0,0.0,2.163096269533664
95,0,0.0,2.1561917940478597
96,0,0.0,2.0934519538029477
97,0,0.0,2.081260585540267
98,0,0.0,2.0673989824524543
99,0,0.0,2.0651400103183866
100,0,0.0,2.064413208057537
101,0,0.0,2.057087510048712
102,0,0.0,2.045219967829833
103,0,0.0,2.044734517365638
104,0,0.0,2.032473800933087
105,0,0.0,2.019169034326167
106,0,0.0,2.0113046477784002
107,0,0.0,2.0110416090497845
108,0,0.0,2.009005484328225
109,0,0.0,2.0054209881004863
110,0,0.0,1.9882638817063643
111,0,0.0,1.9770445347617696
112,0,0.0,1.96625178876156
113,0,0.0,1.9586801763919273
114,0,0.0,1.932545076778992
115,0,0.0,1.930164344235501
116,0,0.0,1.9242048950544157
117,0,0.0,1.8685027439634154
118,0,0.0,1.8652331538584768
119,0,0.0,1.85356016018525
120,0,0.0,1.83316603466545
121,0,0.0,1.8327520916632094
122,0,0.0,1.811212741764724
123,0,0.0,1.7961244404103505
124,0,0.0,1.7866043717659312
125,0,0.0,1.7768656411404637
126,0,0.0,1.766408407107704
127,0,0.0,1.7501764233327854
128,0,0.0,1.7439971482179288
129,0,0.0,1.7439020291848004
130,0,0.0,1.7358889771583073
131,0,0.0,1.7264977545354736
132,0,0.0,1.719767209623121
133,0,0.0,1.7164991572504478
134,0,0.0,1.711678850566877
135,0,0.0,1.7080089617370038
136,0,0.0,1.6926999342409528
137,0,0.0,1.675660704018699
138,0,0.0,1.673507674270134
139,0,0.0,1.669030302085929
140,0,0.0,1.653607069423005
141,0,0.0,1.643496230388623
142,0,0.0,1.6269347316897607
143,0,0.0,1.6256775394228564
144,0,0.0,1.6151124280582136
145,0,0.0,1.60953213896861
146,0,0.0,1.6019512956717024
147,0,0.0,1.5912093996864463
148,0,0.0,1.5622404823841332
149,0,0.0,1.552525937168885
150,0,0.0,1.5496065731936028
151,0,0.0,1.542527432363737
152,0,0.0,1.5238918189504127
153,0,0.0,1.5189259179661063
154,0,0.0,1.5144240091181218
155,0,0.0,1.5067116606396342
156,0,0.0,1.488855350474177
157,0,0.0,1.482086733187034
158,0,0.0,1.4740773444137896
159,0,0.0,1.4561451690378693
160,0,0.0,1.4360531147082882
161,0,0.0,1.4082141807025061
162,0,0.0,1.4064212675758836
163,0,0.0,1.4035213202954162
164,0,0.0,1.382436838393809
165,0,0.0,1.3692065861094704
166,0,0.0,1.3664568837474678
