,dimension,birth,death
0,2,4.058337685704777,4.167013373199453
1,1,2.923522491128818,3.7766317376303156
2,1,3.0370476349289794,3.855800708754587
3,1,3.1097143980938466,3.5525426107902502
4,1,3.6069499835233234,4.0157198547780455
5,1,3.4108707216895833,3.7986363360292543
6,1,3.041916075217947,3.2823282489815435
7,1,3.120820813892307,3.2065759266722496
8,1,2.9537934915093347,2.9587201733138007
9,0,0.0,inf
10,0,0.0,3.6418588689561493
11,0,0.0,3.001026518428331
12,0,0.0,2.9030687839121145
13,0,0.0,2.813737046733643
14,0,0.0,2.7304626389876354
15,0,0.0,2.7224630771346034
16,0,0.0,2.669551590912779
17,0,0.0,2.543371813540644
18,0,0.0,2.5118136822772468
19,0,0.0,2.428190111132095
20,0,0.0,2.332924143916847
21,0,0.0,2.275088455322401
22,0,0.0,2.2677497105035167
23,0,0.0,2.215608397088374
24,0,0.0,1.9720251984270145
25,0,0.0,1.9612082788725584
26,0,0.0,1.9026804125163763
27,0,0.0,1.8970133457088978
28,0,0.0,1.840554484385919
29,0,0.0,1.6122221363917257
30,0,0.0,1.533802668949855
31,0,0.0,1.499669317088281
32,0,0.0,1.4154774714150367
33,0,0.0,1.3214519110351546
34,0,0.0,1.2510764240158785
35,0,0.0,1.2307906684592462
36,0,0.0,1.218508390722708
37,0,0.0,0.93478041461089
38,0,0.0,0.8831442556958395
