,dimension,birth,death
0,2,4.271782989974112,4.969181872050245
1,2,3.605312146241238,4.141166861334118
2,2,3.693169280253205,4.176588105054498
3,2,4.7057309245817995,5.159837369762007
4,2,4.046177200714084,4.436981164848343
5,2,3.5277231303764944,3.8802475541774424
6,2,4.545368706154418,4.877139726690098
7,2,2.927778083800908,3.251071291948435
8,2,3.6630167752395306,3.9193681562742935
9,2,3.3556743414218166,3.557637682314285
10,2,3.9939899323008654,4.17063668662761
11,2,2.8037882070227096,2.964927842438008
12,2,3.166874087318368,3.32795608217198
13,2,3.091285399814105,3.251071291948435
14,2,3.143718633857272,3.260666584179324
15,2,4.0997496036570515,4.210957927779445
16,2,4.152043233127464,4.259374954716554
17,2,3.579071233385393,3.678947915039643
18,2,3.387040333111978,3.456863200481437
19,2,3.175312665879724,3.24512351768478
20,2,3.9384820990020657,3.9939899323008654
21,2,3.857969713475253,3.908142520265947
22,2,3.030565110416665,3.0674774510919325
23,2,3.2930559097673218,3.327223990808084
24,2,3.997066231002129,4.0281969813864515
25,2,4.350771957210235,4.361660572516226
26,1,2.3189863261130763,3.584358745635741
27,1,2.3416755877961233,3.533474718774984
28,1,2.0630669851520165,3.1416754146733328
29,1,2.6063700286158054,3.6360873416896715
30,1,2.17910689344097,3.12646908614474
31,1,2.3416162706633536,3.215100699797892
32,1,2.6993851841374124,3.5718298452942587
33,1,2.1877842936775997,3.042830435039533
34,1,2.21336627113176,3.041995942766366
35,1,2.9300922453971507,3.7475279470159606
36,1,2.2076312405632765,3.019288896770791
37,1,2.9050163332097756,3.715171583777833
38,1,2.383730320702493,3.190318645302917
39,1,2.5719794441423875,3.3250892124780314
40,1,2.1568120696763624,2.887159448487144
41,1,2.795249968442793,3.507796167684264
42,1,1.9961981978512633,2.632425426051975
43,1,2.1699354582615795,2.7956624565057555
44,1,3.3653251451633506,3.985398690503063
45,1,1.9022515476861992,2.5108682409638683
46,1,2.3842917934491954,2.973728426022027
47,1,1.9199961809190458,2.508903180274338
48,1,1.9415994434879917,2.4962313321990526
49,1,2.4759701767533593,3.028197208096375
50,1,2.3540948113871645,2.9042257149304214
51,1,2.2565917684844456,2.773739598944441
52,1,2.5926365035816445,3.091285399814105
53,1,2.607943403555351,3.103420450129023
54,1,2.0963081908231147,2.5895647958688226
55,1,2.8786478049842463,3.3652965883762995
56,1,2.0002273770536734,2.485822876203077
57,1,2.095526903993848,2.5802677924662665
58,1,3.0228935350852053,3.5009205602138693
59,1,2.241161014575342,2.7155215615613932
60,1,2.3539648735437573,2.8037882070227096
61,1,3.081639391095092,3.5251394807959144
62,1,2.41162187854374,2.854567249190088
63,1,2.296310818969261,2.7373247719902363
64,1,2.656780462257104,3.088470945221986
65,1,3.122056267765641,3.5352331846934946
66,1,2.9086303230135018,3.310269562932721
67,1,2.4013430774757807,2.793602921072591
68,1,1.8882850054155196,2.2309224776717356
69,1,2.1694325567689208,2.508903180274338
70,1,2.65968050533111,2.9984998717667533
71,1,3.189022792378226,3.5182585780212783
72,1,2.6200578980381795,2.946406746989684
73,1,2.4852181231370882,2.7930123954113535
74,1,2.350185095596877,2.6438802932816077
75,1,1.9613619159575324,2.238540615381764
76,1,2.216384784192214,2.492414886524411
77,1,2.594343371113357,2.869152090623448
78,1,2.414809427397988,2.681702612230747
79,1,2.3775929215613463,2.628336879673749
80,1,2.578891853060241,2.8277677028027686
81,1,2.966729819263035,3.208927847770646
82,1,2.1232102300626483,2.357766411538953
83,1,2.3684696661751214,2.5940928197785267
84,1,3.66398193157503,3.889539856356386
85,1,3.146412072829883,3.35465721953211
86,1,2.6505336104895734,2.854644074291471
87,1,2.6659087184513193,2.8669610169871875
88,1,2.346186209577605,2.5434396843880696
89,1,3.223284599269243,3.4143345947620625
90,1,2.8243898143694994,3.014766212098558
91,1,3.1187717305217113,3.3067734007224057
92,1,2.888361369588681,3.0716955258625664
93,1,2.72461347136367,2.905395056875585
94,1,2.446894827369379,2.6159234829386833
95,1,2.6281714007364783,2.796441236751801
96,1,2.5634386356853547,2.722479278544184
97,1,3.2502761546733963,3.405381654520593
98,1,2.2572410694490537,2.4094280850593157
99,1,3.029903638938717,3.1673480296691188
100,1,3.347427043195505,3.481095752531751
101,1,2.330489480071057,2.4576870461412796
102,1,2.4725184471587123,2.5963443068598773
103,1,2.252632860399114,2.368336817333363
104,1,2.754408316658744,2.8644874153893736
105,1,2.1024814985536424,2.202201927269772
106,1,2.695581654560025,2.795127386107621
107,1,2.786092331180194,2.885226749517432
108,1,3.0462862957406425,3.1416754146733328
109,1,3.1976919583442087,3.2747444869306768
110,1,2.9540205707213887,3.0297353294902742
111,1,2.5738608678880044,2.6477993521349172
112,1,3.302972937456932,3.3722795822463496
113,1,2.380784328625877,2.449507464071537
114,1,1.8985800822327845,1.9667325728017104
115,1,2.9810104112985165,3.0483567533778104
116,1,1.9152788925480364,1.9796824683323146
117,1,2.1263157824573202,2.189076798363886
118,1,2.4034670434256435,2.4589046117911657
119,1,1.9666177384915924,2.021731792699261
120,1,2.7201925155085074,2.7736765267479733
121,1,3.039528295036399,3.0821842794559333
122,1,3.243198885129732,3.2839795281651165
123,1,3.6527083502840303,3.693169280253205
124,1,2.7128281147885995,2.746593975735241
125,1,2.736309984327441,2.768197078648856
126,1,2.348760190213385,2.379151773207489
127,1,2.830563229443489,2.8551813544710156
128,1,2.394792735917606,2.4164450199678034
