,dimension,birth,death
0,2,1.8200592642634268,2.0161969024965063
1,1,1.7901273040479608,2.35810127613674
2,1,1.7732394121668846,1.9489043957235361
3,1,1.6820275018692619,1.8122875220760015
4,1,1.5432241769624155,1.6570528636365152
5,1,2.349505313510785,2.440628310835215
6,1,1.676018189496467,1.6947177239858386
7,0,0.0,inf
8,0,0.0,1.5994652745200015
9,0,0.0,1.5974814549839051
10,0,0.0,1.4671042839680286
11,0,0.0,1.397886077738259
12,0,0.0,1.3952848157152227
13,0,0.0,1.3249645619440256
14,0,0.0,1.304920589336118
15,0,0.0,1.2913440965141405
16,0,0.0,1.2872370118573522
17,0,0.0,1.2699277697507851
18,0,0.0,1.217393411708387
19,0,0.0,1.1911909029650676
20,0,0.0,1.1330201858819908
21,0,0.0,1.0666970356433918
22,0,0.0,1.0388113066573632
23,0,0.0,0.9709817946810687
24,0,0.0,0.9194103574131038
25,0,0.0,0.9174059391643462
26,0,0.0,0.7676753464654812
27,0,0.0,0.7583052554909545
28,0,0.0,0.713586518790398
29,0,0.0,0.6278044386268804
30,0,0.0,0.48776905167229134
31,0,0.0,0.47919682045904827
32,0,0.0,0.46162019458259407
33,0,0.0,0.44349103930019734
34,0,0.0,0.2699157486357003
35,0,0.0,0.11743440034995621
36,0,0.0,0.09574911818702651
